benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4
wavpack-5.1.0/wavpack.bc,OSS,OK,8.789254109,8.835961807,69050368,OK,13.15334748,6.629833457,75837440,1.332757733
coreutils-8.31/env.bc,OSS,OK,8.685212612,8.798135295,29421568,OK,14.61112423,4.85179352,47091712,1.813377931
enscript-1.6.6/enscript.bc,OSS,OK,8.749191399,8.77746493,82509824,OK,13.80315683,6.454962838,89391104,1.359801001
unbound-1.9.1/unbound-control.bc,OSS,OK,8.704927757,8.769248819,284033024,OK,11.33150411,6.440723815,317849600,1.361531572
iproute2-5.0.0/devlink.bc,OSS,OK,8.632112727,8.722189796,52133888,OK,10.95807624,3.44419366,67022848,2.532433033
visitors-0.7/visitors.bc,OSS,OK,8.650749816,8.680741799,88059904,OK,13.32302115,6.842763141,90378240,1.268601824
brltty-6.0/brltty-ktb.bc,OSS,OK,8.62891887,8.653746207,105832448,OK,10.26630952,7.644117435,109625344,1.132079181
gnupg-2.2.15/gpgtar.bc,OSS,OK,8.47995862,8.537166468,59109376,OK,15.33963593,5.509082567,67035136,1.549653026
gnupg-2.2.15/dirmngr_ldap.bc,OSS,OK,8.465828959,8.494851098,39231488,OK,14.3704659,5.784658816,46600192,1.468513765
tilda-1.4.1/tilda.bc,OSS,OK,8.445369243,8.475386994,55537664,OK,8.583023214,8.487245911,57102336,0.9986027367
gnupg-2.2.15/gpg-check-pattern.bc,OSS,OK,8.25748678,8.350135227,47173632,OK,14.17116988,5.367263267,54259712,1.555752869
openvswitch-2.11.0/ovs-vlan-bug-workaround.bc,OSS,OK,5.281717075,8.348880778,126226432,OK,6.239772292,4.765005137,103268352,1.752124193
coreutils-8.31/unexpand.bc,OSS,OK,8.107257871,8.13074635,26095616,OK,15.35234007,7.418166442,38449152,1.096058765
nauty-26r11/twohamg.bc,OSS,OK,8.030973206,8.057719322,50597888,OK,11.21332541,3.967543729,57499648,2.030908762
i3status-2.12/i3status.bc,OSS,OK,7.965492819,7.991266328,51896320,OK,12.88852769,8.016715061,57004032,0.996825541
vifm-0.10/vifm.bc,OSS,OK,7.877338307,7.968004196,239243264,OK,8.872017153,7.324085441,241635328,1.087917974
gnupg-2.2.15/dirmngr-client.bc,OSS,OK,7.930377222,7.957867152,46870528,OK,13.54343741,5.133342679,53800960,1.550231038
gnupg-2.2.15/gpg-preset-passphrase.bc,OSS,OK,7.864561662,7.913003932,38780928,OK,13.68670272,5.091170372,45916160,1.554260289
cvsps-3.13/cvsps.bc,OSS,OK,7.884775735,7.911221167,51822592,OK,10.21469264,4.65710817,55422976,1.698741124
ipmitool-1.8.18/ipmitool.bc,OSS,OK,7.645219353,7.883870389,334028800,OK,7.75399731,7.256636475,333107200,1.086435901
icoutils-0.32.3/wrestool.bc,OSS,OK,7.847001933,7.875896091,33017856,OK,11.52078851,3.592999237,40972288,2.192011624
coreutils-8.31/date.bc,OSS,OK,7.729188042,7.75763016,51515392,OK,14.37033454,6.076582026,69775360,1.2766437
uucp-1.07/uupick.bc,OSS,OK,7.701564154,7.724763731,38580224,OK,11.35807456,5.81844307,44560384,1.327634152
xscreensaver-5.42/glsnake.bc,OSS,OK,7.576001444,7.599801637,53260288,OK,9.763370755,7.034954198,59162624,1.080291559
bogofilter-1.2.4/bogoutil.bc,OSS,OK,7.53607847,7.560243975,42577920,OK,10.90665063,5.788073537,48308224,1.306176213
tcpdump-4.9.2/tcpdump.bc,OSS,OK,7.411551848,7.536680604,377556992,OK,7.402964934,7.304278738,374358016,1.031817223
unhide-20130526/unhide-linux.bc,OSS,OK,7.416946574,7.494347737,31526912,OK,8.813607696,2.864349211,37986304,2.616422505
nemo-4.0.6/nemo.bc,OSS,OK,6.991315719,7.311641761,408891392,OK,7.119163367,7.149114908,398381056,1.022733843
gif2png-2.5.13/gif2png.bc,OSS,OK,7.281706299,7.306284831,26791936,OK,11.29589925,3.486242654,37244928,2.095747645
lvm2-2.02.184/dmsetup.bc,OSS,OK,7.199508385,7.228170182,76972032,OK,7.826705407,4.794232471,90234880,1.507680369
nauty-26r11/vcolg.bc,OSS,OK,7.151819101,7.177647064,53673984,OK,14.0629992,6.743288466,59928576,1.064413468
nemo-4.0.6/nemo-desktop.bc,OSS,OK,6.871250803,7.16270853,404979712,OK,7.111473267,7.14529551,394784768,1.002436991
vice-3.3/petcat.bc,OSS,OK,7.126981123,7.157540942,51945472,OK,12.57098394,6.22944412,58023936,1.148985496
igmpproxy-0.2.1/igmpproxy.bc,OSS,OK,6.920305522,6.94979481,32911360,OK,9.218539179,3.482498714,41189376,1.995634566
nasm-2.14.02/ldrdf.bc,OSS,OK,6.901088117,6.931175969,31346688,OK,11.87603037,4.830668334,36864000,1.434827541
sysstat-12.1.3/sadc.bc,OSS,OK,6.767407015,6.817573855,39800832,OK,10.00279745,3.405662883,43565056,2.001834618
julius-4.5/adinrec.bc,OSS,OK,6.614230611,6.709322868,242974720,OK,7.78856384,5.218879136,252956672,1.285586942
sipcalc-1.1.6/sipcalc.bc,OSS,OK,6.613801222,6.648673381,32149504,OK,12.73318626,7.102389237,37150720,0.9361178554
collectd-5.8.1/collectd.bc,OSS,OK,6.504847909,6.531704471,60891136,OK,10.41469216,5.553401104,65224704,1.176162922
dictd-1.12.1/dict.bc,OSS,OK,6.291373303,6.463112309,42524672,OK,11.82034181,4.947792407,47689728,1.306261819
dvdauthor-0.7.2/spuunmux.bc,OSS,OK,6.39889642,6.431194398,36560896,OK,10.1421315,4.903205445,41443328,1.31163062
julius-4.5/mkss.bc,OSS,OK,6.406165568,6.425637926,242229248,OK,7.950232721,5.210830272,250208256,1.233131304
coreutils-8.31/stat.bc,OSS,OK,6.247850497,6.350963867,39976960,OK,10.12632788,3.465689144,58712064,1.832525539
fwknop-2.6.10/fwknop.bc,OSS,OK,6.305157131,6.333771762,47747072,OK,8.739470608,5.57634697,52211712,1.135828132
coreutils-8.31/wc.bc,OSS,OK,6.226425565,6.254928958,30294016,OK,9.680406223,3.542018514,47087616,1.765922152
coreutils-8.31/uniq.bc,OSS,OK,5.941491043,6.027549979,28856320,OK,9.23153227,2.844100486,43823104,2.119316813
ethtool-5.0/ethtool.bc,OSS,OK,5.920016973,6.019327418,191283200,OK,6.801049433,3.817525235,225439744,1.576761658
bitlbee-3.6/bitlbee.bc,OSS,OK,5.752634913,6.008567134,112386048,OK,9.001561934,4.618471491,117071872,1.300986083
netdata-1.13.0/cgroup-network.bc,OSS,OK,5.916858668,5.951118515,50106368,OK,8.993246167,4.077397609,54829056,1.459538433
iwd-0.17/iwd.bc,OSS,OK,5.667257251,5.868969824,184905728,OK,10.14161522,5.840132038,183832576,1.004937865
unrtf-0.21.10/unrtf.bc,OSS,OK,5.613716462,5.690729892,43352064,OK,9.493783656,5.10967057,50061312,1.11371757
unifdef-2.11/unifdef.bc,OSS,OK,5.57479462,5.599890305,25067520,OK,7.181008335,2.741256443,33366016,2.042818839
stubby-0.2.6/stubby.bc,OSS,OK,5.387666684,5.407254258,30867456,OK,8.030173108,2.363469811,45817856,2.287845706
ncftp-3.2.6/ncftpbookmarks.bc,OSS,OK,5.296561551,5.321272888,52412416,OK,6.71519457,2.618609565,59908096,2.032098622
brltty-6.0/brltty-lsinc.bc,OSS,OK,5.189499485,5.214430964,44572672,OK,6.643825183,4.478421348,49516544,1.164345772
adns-1.5.1/adnshost.bc,OSS,OK,4.905137058,5.028119938,27553792,OK,8.944392404,3.458909272,33488896,1.45367211
